No,Kasus / Permasalahan,Tindak Lanjut Penyelesaian,Peraturan
12,Hasil Verifikasi Validasi Non ASN Yang Tewas a.n Dahun Rosyadi NIP LEG190170100005 Berdasarkan kronologis yang disampaikan Sdr. Dahun Rosyadi ditugaskan melakukan kunjungan kerja ke Dinas Kependudukan dan Pencatatan Sipil Kabupaten Bogor tanggal 20 - 23 September 2022. Peserta merasa kondisi tubuh masih kurang sehat sehingga pergi ke Jakarta tanggal 21 September 2022 untuk berobat lalu memutuskan tidak jadi berobat ke dokter lalu beristirahat di Hotel Arwana di daerah Jakarta Barat. Peserta ditemukan dalam kondisi tidak sadar tanggal 22 September 2022 lalu dibawa ke RS dan dinyatakan meninggal dunia pukul 06.20 WIB.,"Berdasarkan peraturan Badan Kepegawaian Negara Nomor 4 tahun 2020 pasal 32 ayat 1 huruf b disebutkan bahwa “Kriteria tewas karena meninggal dunia sebagai akibat langsung dalam menjalankan tugas jabatan dan/atau tugas kedinasan lainnya di luar lingkungan kerja pada saat melaksanakan tugas kedinasan lainnya yang diperintahkan secara tertulis oleh atasan/pimpinan sepanjang tidak bertentangan dengan ketentuan peraturan perundang-undangan” Berdasarkan hal tersebut diatas, maka kecelakaan yang dialami oleh Sdr. Dahun Rosyadi tidak memenuhi kriteria tewas.",
13,Kasus Pemalsuan KTP pada Pembukaan Rekening pensiuanan,- Pengembalian klaim THT kepada Taspen - Koordinasikan dengan mitra bayar untuk pengembalian hak THT,
14,Pensiunan mempunyai kredit rangkap,- Cek kebenaran data pada lembar permohonan mutasi kantor bayar - Lakukan investigasi pada masing-masing mitra bayar,
15,PNS mempunyai 2 istri dan kedua istri tersebut mengajukan klaim yang sama,- Cek nama isteri yang tercantum di SK -Hak yang sudah terlanjur dibayarkan tersebut akan dikembalikan kepada istri yang tercantum sesuai dengan SK -TMT janda akan dibayarkan setelah keterlanjuran pembayaran tsb terstop.,
16,"Peserta Non ASN meninggal dunia pada april 2021, penetapan ahli waris baru keluar januari 2022 sedangkan kepesertaan JKK-JKM peserta habis 31 Desember 2021","-Mendasari Peraturan Direksi PT TASPEN (PERSERO) Nomor PD-26//DIR/2019 tanggal 20 Juni 2019 tentang Pengelolaan Jaminan Kecelakaan Kerja Dan Jaminan Kematian Bagi Pegawai Non Pegawai Negeri Sipil Dan Pegawai Non Pegawai Pemerintah Dengan Perjanjian Kerja, sebagaimana disebutkan pada pasal 6 ayat (1) Kepesertaan dimulai sejak iuran diterima oleh PT TASPEN (PERSERO) dan ayat (2) Kepesertaan berakhir dalam hal peserta maninggal dunia, berhenti atau diputus hubungan perjanjian kerja. -Tata cara pencairan dan proses klim Jaminan Kematian agar diproses sebagaimana yang berlaku bagi Pegawai Aparatur Sipil Negara (PNS/PPPK).",
17,"Terdapat pengajuan mutasi kantor bayar dan pengajuan kredit pensiunan dimana dokumen KTP dan SK Pensiun diganti foto orang lain , setelah dikonfirmasi ybs tidak melakukan hal tersebut.",- Klaim tidak diproses - Dilakukan investigasi karna ada indikasi pemalsuan klaim dan pembukaan buku rekening,
18,"Terdapat pengajuan klaim UDW, namun pada saat konfirmasi kepada ybs masih hidup dan tidak melakukan pengajuan klaim apapun",,
19,Terdapat indikasi pemalsuan pengajuan klaim SP3L melalui TOOS,- Taspen membayarkan kembali sesuai hak peserta pada mitra bayar yang sebenarnya - setiap pengajuan klaim/non klaim melalui TOOS agar dilakukan konfirmasi kepada pemohon/peserta,
20,"Terdapat pengajuan UDW oleh ahli waris (anak kandung), namun setelah dilakukan konfirmasi dan investigas yang bersangkutan ternyata masih hidup.","- Lakukan investigasi kepada instansi-instansi terkait, mencari kebenaran kematian dan keberadaan ybs. - klaim UDW tidak diproses, namun tetap memproses hak yang sebenarnya - Bersurat kepada Divisi Kepsertaan untuk merubah data tanggal kematian pensiun",
21,Pembayaran rapel pensiun Eks PNS Dephub pada PT Kereta Api (Persero) yang semula dikelola oleh PT Jiwasraya dan telah masuk daftar Nomatif Pensiunan Eks PNS Dephub yang telah diserahkan kepada PT Taspen (Persero) pada 31 Desember 2007,"- Lakukan verifikasi kebenaran data - Koordinasi dengan Divisi LP, Divisi Kepesertaan, dan Divisi Aktuaria - Pembayaran rapel dapat dibayarkan kepada peserta sesuai dnegan ketentuan yang berlaku.",
22,"PNS tunjuk silang dengan pensiunan TNI, data suami isteri saling menunjang","- Bedasarkan Pasal 8 UU 11/1969 tentang pensiun pegawai dan janda/duda pegawai juncto pasal 16 PP tentang gaji PNS dan perubahan-perubahannya menyebutkan, ""tunjangan istri/suami hanya diberikan kepada yang mempunyai gaji pokok lebih besar"". - Keterlanjuran bayar tunjangan istri/suami harus dikembalikan kepada Taspen",
23,"Pensiun duda menikah kembali, keterlanjuran bayar dari 2005 hingga 2011. Masih ada anak kandung, namun pada tahun 2011 anak sudah dewasa sehingga tidak berhak pensiun yatim/piatu.","- lakukan perekaman data pernikahan duda menikah kembali dan lakukan perekaman hutang - lakukan klaim yatim peninggalan, lalu hutang dibayar melalui non dapem pensiun yatimnya, dan dilakukan penyetopan permaneh punah.",
24,"Terdapat perbedaan golongan antara di SK dan database TDES, di SK tercantum golongan IVA dan di TDES IIIB","-lakukan verifikasi historis data peserta -Apabila terdapat kejanggalan, koordinasikan dan konfirmasi data dengan BKN -Bersurat kepada Divisi Kepesertaan untuk ditampilakan data dapem dibawah tahun 2005 -lakukan rapel sesuai ketentuan yang berlaku",
25,"Mengapa sesama PNS yang sudah dinyatakan sudah terlibat kasus korupsi dan mempunyai hukum tetap, ada yang menggunakan pensiun ada yang tidak.","- Mendasari PP No. 11 Tahun 2017 Pasal 283 ayat 1, PNS yang diberhentikan sementara pada saat mencapai BUP, apabula bedasarkan putusan pengadilan yang mempunyai kekuatan hukum (inkracht) dinyatakan TIDAK BERSALAH, maka diberhentikan dengan hormat sebagai PNS dengan mendapatkan hak kepegawaian sesuai dengan ketentuan perundang-ungan dan berhak atas jamianan pensiun - Mendasari UU No. 5 Tahun 2014 Pasal 87 ayat 4, PNS yang diberhentikan sementara pada saat mencapai BUP, apabila berdasarkan putusan pengadilan yang mem[unyai kekuatan hukum tetap (inkracht) dinyatakan BERSALAH, maka diberhentikan tidak dengan hormat sebagai PNS dan tidak berhak atas jaminan pensiun",UU No. 5 Tahun 2014 Pasal 87 ayat 4 PP No. 11 Tahun 2017 Pasal 283 ayat 1
26,ASN yang mendaftar sebagai calon anggota legislatif,"-Agar menjadi anggot legislatif seseorang tersebut harus bergabung dalam partai politik sedangkan ASN memiliki asas netralitas yang diamanatkan dalam Undang- Undang Nomor 5 Tahun 2014 tentang ASN. Dalam aturan itu disebutkan bahwa ASN dilarang menjadi anggota dan/atau pengurus partai politik -Pada PP no 37 tahun 2004 pada pasal 2 menyebutkan ""pegawai negeri sipil yang menjadu anggota dan/atau pengurus partai politik diberhentikan sebagai Pegawai Negeri Sipil""",Undang-Undang No 5 Tahun 2014 Peraturan Pemerintah No 37 Tahun 2004
27,Seorang pegawai negeri yang sudah dipenjara setahun atau lebih apakah dapat dikembalikan statusnya menjadi pegawai negeri kembali,"- PNS yang diberhentikan sementara pada saat BELUM mencapai BUP, apabila bedasarkan keputusan pengadilan yang mempunyai kekuatan hukum tetap (inkracht) dinyatakan TIDAK BERSALAH, maka dapat diaktifkan kembali sebagai PNS apabila tersedia lowongan jabatan - PNS yang diberhentikan sementara pada saat BELUM mencapai BUP, apabila bedasarkan putusan pengadilan yang mempunyai kekuatan hukum tetap (inkracht) dinyatakan BERSALAH, maka diberhentikan tidak dengan hormat sebagai PNS tanpa jaminan pensiun.",UU No. 5 Tahun 2014 PerBKN No. 3 Tahu 2020
28,Apakah veteran 50% berhak mendapatkan pensiun,,
29,"Jaksa meninggal dunia bulan desember 2022, SK pensiun keluar bulan juli 2023 dengan TMT Pensiun 1 November 2022, data di tdes BUP 62 tahun, dan telah diproses C110 dan JKM","- Dengan ditetapkannya Putusan Mahkamah Konstitusi Nomor 70/PUU-XX/2022 terkait Batas Usia Pensiun (BUP) Jaksa, atas Jaksa yang belum mencapai usia 60 tahun pada tanggal Keputusan Mahkamah Konstitusi tersebut, yakni 11 Oktober 2022, ditetapkan BUP dari 60 tahun menjadi 62 tahun. - Koordinasikan dengan BKN terkait data kepegawaian PNS Kejaksaan - Pastikan NIP dan Nama ybs masuk dalam list BUP 62 Tahun - Dalam kasus ini ybs merupakan BUP 60 tahun, sehingga C110 harus dibatalkan dan diproses klaim B110 yang bersangkutan.",
30,"Istri PPPK meninggal dunia, apakah mendapatkan askem?",Keluarga dari PPPK tidak mendapatkan askem keluarga,
31,PNS terlibat kasus korupsi,"Apabila perkaranya telah memiliki kekuatan hukum tetap (incracht), PNS tersebut harus diberhentikan tidak dengan hormat sebagai PNS. Hal ini tertuang dalam Pasal 87 ayat (4) huruf b Undang-undang Nomor 5 Tahun 2014 Tentang Aparatur Sipil Negara, serta Pasal 250 huruf b dan Pasal 252 Peraturan Pemerintah Nomor 11 Tahun 2017 Tentang Manajemen Pegawai Negeri Sipil, antara lain dinyatakan bahwa PNS diberhentikan tidak dengan hormat apabila dipidana dengan pidana penjara atau kurungan berdasarkan putusan pengadilan yang telah memiliki kekuatan hukum tetap karena melakukan tindak pidana kejahatan Jabatan atau tindak pidana kejahatan yang ada hubungannya dengan Jabatan dan/atau pidana umum. Pemberhentian tersebut ditetapkan terhitung mulai akhir bulan sejak putusan pengadilan atas perkaranya yang telah memiliki kekuatan hukum tetap.",Undang-undang Nomor 5 Tahun 2014 Tentang Aparatur Sipil Negara; Pasal 250 huruf b dan Pasal 252 Peraturan Pemerintah Nomor 11 Tahun 2017 Tentang Manajemen Pegawai Negeri Sipil
