kode_kasus,kategori,kasus,penyelesaian,aturan
UU11-005,Keuangan,"Rumus dan tata cara perhitungan besaran uang pensiun bulanan pegawai negeri.","Berdasarkan Pasal 11 Ayat (1): Besaran pensiun bulanan adalah 2,5% dari dasar pensiun (gaji pokok) dikalikan tiap tahun masa kerja (maksimal 75%, minimal setara gaji pokok terendah).","UU No. 11 Tahun 1969 Pasal 11 Ayat (1)"
UU11-006,Administrasi,"Syarat dan kelengkapan dokumen pengajuan hak pensiun pertama kali bagi pegawai yang purna tugas.","Berdasarkan Pasal 12: Melampirkan Salinan sah SK Pemberhentian Dengan Hormat, Daftar Riwayat Pekerjaan, Daftar Susunan Keluarga (SKUMPTK/KK), dan Surat Keterangan penyerahan barang milik negara.","UU No. 11 Tahun 1969 Pasal 12"
UU11-007,Pensiun,"Hak dan besaran uang pensiun janda atau pensiun duda bagi pegawai/pensiunan yang meninggal dunia biasa.","Berdasarkan Pasal 16 & Pasal 17 Ayat (1): Istri/suami sah berhak atas 36% dari dasar pensiun (minimal 75% gaji pokok terendah). Jika terdapat lebih dari satu istri sah terdaftar, hak 36% dibagi rata.","UU No. 11 Tahun 1969 Pasal 16 & Pasal 17"
UU11-008,Klaim,"Hak pensiun janda/duda istimewa bagi pegawai negeri yang dinyatakan TEWAS dalam menjalankan tugas kewajiban negara.","Berdasarkan Pasal 4 jo. Pasal 17 Ayat (3): Hak pensiun janda/duda pegawai tewas diberikan sebesar 72% dari dasar pensiun (2x pensiun biasa) dan minimal setara gaji pokok terendah.","UU No. 11 Tahun 1969 Pasal 4 & Pasal 17 Ayat (3)"
UU11-009,Pensiun,"Syarat dan batas usia hak pensiun anak yatim/piatu jika penerima pensiun janda/duda meninggal dunia.","Berdasarkan Pasal 18 Ayat (4): Pensiun diteruskan ke anak sah dengan kriteria: belum mencapai usia 25 tahun, belum berpenghasilan sendiri, dan belum pernah menikah.","UU No. 11 Tahun 1969 Pasal 18 Ayat (4)"
UU11-010,Administrasi,"Batas waktu pelaporan / pendaftaran perkawinan atau kelahiran anak baru untuk hak pensiun keluarga.","Berdasarkan Pasal 19 Ayat (6): Pendaftaran pasangan atau anak sebagai ahli waris wajib dilaporkan selambat-lambatnya dalam waktu 1 (satu) tahun sejak tanggal nikah atau lahir.","UU No. 11 Tahun 1969 Pasal 19 Ayat (6)"
UU11-011,Klaim,"Hak pensiun bagi orang tua jika pegawai berstatus bujang/lajang TEWAS dalam tugas dinas.","Berdasarkan Pasal 20 Ayat (1): Jika pegawai tewas dan tidak meninggalkan istri/suami atau anak, maka 20% dari hak pensiun janda/duda tewas (20% x 72%) diberikan kepada orang tua kandungnya.","UU No. 11 Tahun 1969 Pasal 20"
UU11-012,Keuangan,"Permohonan uang muka pensiun sementara jika penetapan SK pensiun definitif belum selesai terbit.","Berdasarkan Pasal 26: Pejabat berwenang dapat membayarkan uang muka pensiun sementara kepada calon penerima pensiun agar kelangsungan nafkah keluarga tetap terjaga.","UU No. 11 Tahun 1969 Pasal 26"
UU11-013,Administrasi,"Pembatalan pensiun janda/duda jika menikah kembali (kawin lagi) dan hak aktivasi ulang bila bercerai.","Berdasarkan Pasal 28: Pensiun janda dibatalkan jika menikah lagi tanpa tanggungan anak. Namun jika pernikahan keduanya kemudian putus (wafat/cerai), hak pensiun almarhum suami pertama dapat diaktifkan kembali.","UU No. 11 Tahun 1969 Pasal 28"
UU11-014,Kasus Hukum,"Kondisi yang menyebabkan hapus / gugurnya hak pensiun pegawai atau pensiun janda/duda.","Berdasarkan Pasal 29: Hak pensiun hapus bila: menjadi militer/PNS negara asing tanpa izin, terlibat makar/melawan Pancasila berdasarkan vonis pengadilan, atau terbukti memalsukan data.","UU No. 11 Tahun 1969 Pasal 29"
UU11-015,Keuangan,"Penggunaan SK Pensiun untuk jaminan pinjaman bank dan larangan penggadaian hak pensiun secara ilegal.","Berdasarkan Pasal 30 & 31: SK Pensiun hanya sah dijadikan agunan pada bank mitra resmi yang ditunjuk Menkeu. Dilarang keras menggadaikan atau memindahtangankan hak pensiun ke pihak perorangan/rentenir (batal demi hukum).","UU No. 11 Tahun 1969 Pasal 30 & Pasal 31"
UU11-016,Administrasi,"Penetapan batas usia pensiun jika terdapat perbedaan tanggal lahir pada dokumen atau ijazah di kemudian hari.","Berdasarkan Pasal 10: Usia pensiun ditentukan mutlak berdasarkan tanggal kelahiran pada SK pengangkatan pertama (CPNS) yang sah dan tidak dapat diubah lagi.","UU No. 11 Tahun 1969 Pasal 10"
UU11-017,Pensiun,"Status pensiun bagi pegawai penerima pensiun yang diangkat kembali menjadi Pegawai Negeri aktif.","Berdasarkan Pasal 15: Pembayaran pensiun dihentikan sementara, dan setelah berhenti kembali dihitung ulang menggunakan dasar perhitungan masa kerja dan gaji yang paling menguntungkan.","UU No. 11 Tahun 1969 Pasal 15"
